"805980","FR","Nantes","2015-12-31T09:04:49+01:00",585.36
"G02367","FR","Marseille","2016-01-07T08:36:53+01:00",393.74
"K82916","ES","Bilbao","2016-01-19T17:34:13+01:00",59.62
"781526","FR","Toulouse","2015-12-11T11:42:43+01:00",293.57
"901799","DE","Dortmund","2015-12-15T13:22:13+01:00",422.20
"G15163","DE","Hamburg","2015-12-05T09:51:24+01:00",207.81
"370422","GB","Birmingham","2015-12-27T18:49:19+00:00",59.04
"146546","ES","Barcelona","2015-12-04T19:13:44+01:00",193.47
"781516","BG","Plovdiv","2015-12-10T08:14:25+02:00",522.82
"89425","DE","Essen","2016-01-13T08:32:44+01:00",151.65
"538352","ES","Barcelona","2016-01-19T16:15:59+01:00",85.53
"K81727","FR","Strasbourg","2015-12-17T11:52:14+01:00",603.41
"507628","FR","Paris","2015-12-08T17:11:29+01:00",423.29
"791371","ES","Málaga","2016-01-02T12:21:19+01:00",190.82
"E18480","ES","Seville","2015-12-12T14:32:06+01:00",405.57
"J87884","FR","Toulouse","2015-12-25T14:02:52+01:00",613.57
"552581","FR","Paris","2016-01-24T19:25:58+01:00",638.50
"41980","ES","Seville","2015-12-09T17:39:51+01:00",12.48
"30385","BG","Varna","2016-01-21T14:29:08+02:00",415.25
"42102","IT","Catania","2016-01-13T20:07:02+01:00",234.91
"790903","BG","Veliko Tarnovo","2016-01-15T13:06:10+02:00",243.01
"790805","IT","Catania","2015-12-19T09:49:45+01:00",510.06
"146546","DE","Cologne","2015-12-30T15:10:04+01:00",214.97
"145943","DE","Dortmund","2016-01-15T12:02:48+01:00",425.44
"218972","BG","Ruse","2015-12-25T09:50:52+02:00",490.77
"99386","ES","Málaga","2015-12-18T20:42:29+01:00",196.33
"G44619","GB","Glasgow","2015-12-25T14:42:01+00:00",675.81
"607844","FR","Strasbourg","2016-01-12T10:34:48+01:00",151.45
"J11328","DE","Cologne","2015-12-24T08:03:43+01:00",419.43
"906577","IT","Catania","2016-01-24T20:48:44+01:00",351.02
"561729","DE","Stuttgart","2016-01-20T09:49:59+01:00",206.88
"K81727","ES","Zaragoza","2015-12-25T15:07:58+01:00",417.74
"538352","DE","Cologne","2015-12-22T15:34:47+01:00",95.03
"909192","DE","Leipzig","2015-12-19T17:11:47+01:00",40.72
"383914","BG","Ruse","2015-12-12T16:38:39+02:00",321.54
"K13579","ES","Zaragoza","2015-12-08T13:48:49+01:00",106.69
"P46319","ES","Seville","2016-01-11T20:42:07+01:00",198.68
"545183","BG","Sofia","2015-12-20T16:28:48+02:00",313.26
"153775","GB","Liverpool","2015-12-21T10:29:21+00:00",821.52
"K41607","BG","Burgas","2016-01-19T16:33:22+02:00",37.22
"302357","ES","Málaga","2015-12-09T20:26:36+01:00",176.91
"793989","BG","Pleven","2015-12-18T13:08:53+02:00",198.57
"791442","GB","Edinburgh","2015-12-06T17:49:51+00:00",300.96
"X12277","BG","Burgas","2016-01-21T13:36:32+02:00",208.93
"793989","GB","London","2015-12-04T08:38:26+00:00",316.31
"549057","ES","Bilbao","2015-12-15T16:33:34+01:00",319.59
"V22211","IT","Rome","2015-12-24T09:01:06+01:00",581.35
"89425","GB","Bristol","2016-01-11T13:21:06+00:00",272.97
"E85234","IT","Milan","2016-01-04T17:42:10+01:00",57.90
"901799","ES","Madrid","2016-01-04T09:05:29+01:00",379.98
"G02745","GB","Manchester","2015-12-14T15:05:27+00:00",798.39
"X35603","ES","Bilbao","2016-01-10T09:45:19+01:00",196.31
"781526","DE","Cologne","2015-12-31T18:17:45+01:00",225.82
"562319","ES","Madrid","2015-12-07T16:37:11+01:00",157.31
"G02142","BG","Varna","2015-12-07T17:13:33+02:00",73.46
"44592","IT","Palermo","2015-12-08T13:28:36+01:00",74.08
"G02745","DE","Nuremberg","2016-01-08T13:30:12+01:00",443.55
"552581","ES","Zaragoza","2015-12-20T12:19:50+01:00",442.04
"G40388","DE","Stuttgart","2016-01-15T18:47:35+01:00",464.90
"901799","IT","Catania","2015-12-27T09:30:48+01:00",506.64
"99386","DE","Berlin","2015-12-23T17:02:34+01:00",218.14
"661103","IT","Rome","2016-01-23T19:11:18+01:00",178.74
"552581","IT","Rome","2016-01-22T20:13:54+01:00",589.38
"145943","GB","Liverpool","2015-12-29T18:11:38+00:00",765.79
"G16909","IT","Palermo","2015-12-05T16:04:49+01:00",31.93
"652456","BG","Sofia","2016-01-02T08:28:13+02:00",183.38
"210481","DE","Dortmund","2016-01-22T19:00:28+01:00",485.63
"G15208","FR","Strasbourg","2015-12-14T19:53:26+01:00",53.38
"37452","FR","Nice","2015-12-11T09:04:17+01:00",191.87
"545183","DE","Bremen","2015-12-13T10:14:27+01:00",277.22
"310372","GB","Edinburgh","2016-01-18T15:28:04+00:00",84.58
"557428","BG","Burgas","2016-01-22T08:55:38+02:00",302.18
"611975","FR","Lyon","2015-12-25T20:07:53+01:00",260.51
"G15933","BG","Plovdiv","2016-01-07T09:16:05+02:00",449.47
"537988","FR","Marseille","2015-12-19T20:42:04+01:00",503.15
"538003","DE","Cologne","2016-01-17T11:26:38+01:00",375.29
"370422","FR","Nantes","2015-12-15T14:34:22+01:00",42.64
"805980","FR","Bordeaux","2015-12-30T11:17:23+01:00",585.36
"E85243","ES","Barcelona","2015-12-31T15:02:12+01:00",203.00
"665648","DE","Hanover","2016-01-20T10:56:01+01:00",319.88
"37452","BG","Sofia","2015-12-10T14:33:38+02:00",166.78
"V43493","FR","Nantes","2015-12-16T20:35:39+01:00",152.79
"J05334","BG","Varna","2016-01-20T14:08:17+02:00",420.53
"K41623","DE","Munich","2016-01-19T16:20:19+01:00",452.27
"538352","IT","Catania","2015-12-15T09:08:20+01:00",114.04
"210481","DE","Essen","2016-01-20T17:22:35+01:00",485.63
"614715","FR","Marseille","2015-12-28T13:21:51+01:00",51.39
"V43438","BG","Veliko Tarnovo","2015-12-11T09:50:55+02:00",24.52
"G16908","IT","Florence","2015-12-18T11:15:46+01:00",510.13
"507813","GB","Nottingham","2016-01-19T19:29:36+00:00",338.96
"790809","GB","Bristol","2015-12-30T18:40:10+00:00",392.53
"636391","ES","Bilbao","2016-01-16T15:58:06+01:00",386.15
"J87884","FR","Lyon","2015-12-19T13:11:53+01:00",613.57
"E81862","GB","Liverpool","2016-01-09T14:03:22+00:00",541.31
"538352","GB","Nottingham","2016-01-20T18:01:31+00:00",171.05
"210481","GB","Edinburgh","2015-12-02T08:32:59+00:00",874.13
"153775","IT","Palermo","2015-12-19T11:13:33+01:00",547.68
"V39150","BG","Pleven","2015-12-09T15:55:22+02:00",124.15
"X12277","DE","Duisburg","2016-01-16T11:18:53+01:00",184.89
"665648","ES","Málaga","2015-12-10T18:01:37+01:00",287.89
"146546","ES","Valencia","2015-12-04T18:10:16+01:00",193.47
"618891","IT","Rome","2015-12-22T08:36:38+01:00",53.78
"658507","GB","Nottingham","2016-01-19T13:30:03+00:00",562.37
"G44619","DE","Dortmund","2016-01-05T09:18:33+01:00",375.45
"537990","DE","Essen","2015-12-31T09:19:52+01:00",205.17
"38687","BG","Burgas","2015-12-09T20:23:13+02:00",22.29
"67249","DE","Stuttgart","2016-01-12T08:15:55+01:00",408.76
"614715","FR","Strasbourg","2015-12-10T11:27:59+01:00",51.39
"793989","DE","Duisburg","2015-12-03T10:49:27+01:00",175.73
"G15163","IT","Catania","2015-12-05T13:23:55+01:00",249.37
"616906","DE","Hamburg","2015-12-09T18:47:55+01:00",193.73
"537990","FR","Nantes","2015-12-18T14:41:25+01:00",266.72
"41975","ES","Zaragoza","2016-01-05T11:35:06+01:00",307.19
"538352","DE","Bremen","2015-12-10T20:14:46+01:00",95.03
"614715","IT","Bari","2016-01-14T14:18:20+01:00",47.44
"906577","BG","Veliko Tarnovo","2016-01-08T16:28:45+02:00",330.55
"38687","DE","Leipzig","2016-01-17T09:44:32+01:00",19.73
"805980","DE","Frankfurt am Main","2016-01-05T10:36:47+01:00",450.28
"K81938","BG","Sofia","2015-12-24T14:38:10+02:00",31.79
"805980","DE","Düsseldorf","2015-12-02T17:46:49+01:00",450.28
"561488","GB","Nottingham","2015-12-20T13:03:19+00:00",263.93
"901799","FR","Toulouse","2015-12-08T11:14:32+01:00",548.86
"E18480","ES","Madrid","2016-01-08T11:01:55+01:00",405.57
"W07691","GB","Bristol","2015-12-18T18:26:36+00:00",231.43
"G44619","GB","Manchester","2015-12-10T10:42:13+00:00",675.81
"V22211","GB","Glasgow","2015-12-08T18:19:49+00:00",872.03
"534120","DE","Cologne","2016-01-01T20:11:14+01:00",289.71
"545183","DE","Bremen","2015-12-04T17:30:22+01:00",277.22
"E73835","FR","Strasbourg","2015-12-22T17:31:41+01:00",71.11
